Date;day;dayOfWeek;month;trimester;year;is_holiday;portugueseWeekName
01/01/2022;1;7;1;1;2022;1;S‡bado
02/01/2022;2;1;1;1;2022;0;Domingo
03/01/2022;3;2;1;1;2022;0;Segunda-feira
04/01/2022;4;3;1;1;2022;0;Tera-feira
05/01/2022;5;4;1;1;2022;0;Quarta-feira
06/01/2022;6;5;1;1;2022;0;Quinta-feira
07/01/2022;7;6;1;1;2022;0;Sexta-feira
08/01/2022;8;7;1;1;2022;0;S‡bado
09/01/2022;9;1;1;1;2022;0;Domingo
10/01/2022;10;2;1;1;2022;0;Segunda-feira
11/01/2022;11;3;1;1;2022;0;Tera-feira
12/01/2022;12;4;1;1;2022;0;Quarta-feira
13/01/2022;13;5;1;1;2022;0;Quinta-feira
14/01/2022;14;6;1;1;2022;0;Sexta-feira
15/01/2022;15;7;1;1;2022;0;S‡bado
16/01/2022;16;1;1;1;2022;0;Domingo
17/01/2022;17;2;1;1;2022;0;Segunda-feira
18/01/2022;18;3;1;1;2022;0;Tera-feira
19/01/2022;19;4;1;1;2022;0;Quarta-feira
20/01/2022;20;5;1;1;2022;0;Quinta-feira
21/01/2022;21;6;1;1;2022;0;Sexta-feira
22/01/2022;22;7;1;1;2022;0;S‡bado
23/01/2022;23;1;1;1;2022;0;Domingo
24/01/2022;24;2;1;1;2022;0;Segunda-feira
25/01/2022;25;3;1;1;2022;0;Tera-feira
26/01/2022;26;4;1;1;2022;0;Quarta-feira
27/01/2022;27;5;1;1;2022;0;Quinta-feira
28/01/2022;28;6;1;1;2022;0;Sexta-feira
29/01/2022;29;7;1;1;2022;0;S‡bado
30/01/2022;30;1;1;1;2022;0;Domingo
31/01/2022;31;2;1;1;2022;0;Segunda-feira
01/02/2022;1;3;2;1;2022;0;Tera-feira
02/02/2022;2;4;2;1;2022;0;Quarta-feira
03/02/2022;3;5;2;1;2022;0;Quinta-feira
04/02/2022;4;6;2;1;2022;0;Sexta-feira
05/02/2022;5;7;2;1;2022;0;S‡bado
06/02/2022;6;1;2;1;2022;0;Domingo
07/02/2022;7;2;2;1;2022;0;Segunda-feira
08/02/2022;8;3;2;1;2022;0;Tera-feira
09/02/2022;9;4;2;1;2022;0;Quarta-feira
10/02/2022;10;5;2;1;2022;0;Quinta-feira
11/02/2022;11;6;2;1;2022;0;Sexta-feira
12/02/2022;12;7;2;1;2022;0;S‡bado
13/02/2022;13;1;2;1;2022;0;Domingo
14/02/2022;14;2;2;1;2022;0;Segunda-feira
15/02/2022;15;3;2;1;2022;0;Tera-feira
16/02/2022;16;4;2;1;2022;0;Quarta-feira
17/02/2022;17;5;2;1;2022;0;Quinta-feira
18/02/2022;18;6;2;1;2022;0;Sexta-feira
19/02/2022;19;7;2;1;2022;0;S‡bado
20/02/2022;20;1;2;1;2022;0;Domingo
21/02/2022;21;2;2;1;2022;0;Segunda-feira
22/02/2022;22;3;2;1;2022;0;Tera-feira
23/02/2022;23;4;2;1;2022;0;Quarta-feira
24/02/2022;24;5;2;1;2022;0;Quinta-feira
25/02/2022;25;6;2;1;2022;0;Sexta-feira
26/02/2022;26;7;2;1;2022;0;S‡bado
27/02/2022;27;1;2;1;2022;0;Domingo
28/02/2022;28;2;2;1;2022;0;Segunda-feira
01/03/2022;1;3;3;1;2022;1;Tera-feira
02/03/2022;2;4;3;1;2022;0;Quarta-feira
03/03/2022;3;5;3;1;2022;0;Quinta-feira
04/03/2022;4;6;3;1;2022;0;Sexta-feira
05/03/2022;5;7;3;1;2022;0;S‡bado
06/03/2022;6;1;3;1;2022;0;Domingo
07/03/2022;7;2;3;1;2022;0;Segunda-feira
08/03/2022;8;3;3;1;2022;0;Tera-feira
09/03/2022;9;4;3;1;2022;0;Quarta-feira
10/03/2022;10;5;3;1;2022;0;Quinta-feira
11/03/2022;11;6;3;1;2022;0;Sexta-feira
12/03/2022;12;7;3;1;2022;0;S‡bado
13/03/2022;13;1;3;1;2022;0;Domingo
14/03/2022;14;2;3;1;2022;0;Segunda-feira
15/03/2022;15;3;3;1;2022;0;Tera-feira
16/03/2022;16;4;3;1;2022;0;Quarta-feira
17/03/2022;17;5;3;1;2022;0;Quinta-feira
18/03/2022;18;6;3;1;2022;0;Sexta-feira
19/03/2022;19;7;3;1;2022;0;S‡bado
20/03/2022;20;1;3;1;2022;0;Domingo
21/03/2022;21;2;3;1;2022;0;Segunda-feira
22/03/2022;22;3;3;1;2022;0;Tera-feira
23/03/2022;23;4;3;1;2022;0;Quarta-feira
24/03/2022;24;5;3;1;2022;0;Quinta-feira
25/03/2022;25;6;3;1;2022;0;Sexta-feira
26/03/2022;26;7;3;1;2022;0;S‡bado
27/03/2022;27;1;3;1;2022;0;Domingo
28/03/2022;28;2;3;1;2022;0;Segunda-feira
29/03/2022;29;3;3;1;2022;0;Tera-feira
30/03/2022;30;4;3;1;2022;0;Quarta-feira
31/03/2022;31;5;3;1;2022;0;Quinta-feira
01/04/2022;1;6;4;2;2022;0;Sexta-feira
02/04/2022;2;7;4;2;2022;0;S‡bado
03/04/2022;3;1;4;2;2022;0;Domingo
04/04/2022;4;2;4;2;2022;0;Segunda-feira
05/04/2022;5;3;4;2;2022;0;Tera-feira
06/04/2022;6;4;4;2;2022;0;Quarta-feira
07/04/2022;7;5;4;2;2022;0;Quinta-feira
08/04/2022;8;6;4;2;2022;0;Sexta-feira
09/04/2022;9;7;4;2;2022;0;S‡bado
10/04/2022;10;1;4;2;2022;0;Domingo
11/04/2022;11;2;4;2;2022;0;Segunda-feira
12/04/2022;12;3;4;2;2022;0;Tera-feira
13/04/2022;13;4;4;2;2022;0;Quarta-feira
14/04/2022;14;5;4;2;2022;0;Quinta-feira
15/04/2022;15;6;4;2;2022;1;Sexta-feira
16/04/2022;16;7;4;2;2022;0;S‡bado
17/04/2022;17;1;4;2;2022;1;Domingo
18/04/2022;18;2;4;2;2022;0;Segunda-feira
19/04/2022;19;3;4;2;2022;0;Tera-feira
20/04/2022;20;4;4;2;2022;0;Quarta-feira
21/04/2022;21;5;4;2;2022;0;Quinta-feira
22/04/2022;22;6;4;2;2022;0;Sexta-feira
23/04/2022;23;7;4;2;2022;0;S‡bado
24/04/2022;24;1;4;2;2022;0;Domingo
25/04/2022;25;2;4;2;2022;1;Segunda-feira
26/04/2022;26;3;4;2;2022;0;Tera-feira
27/04/2022;27;4;4;2;2022;0;Quarta-feira
28/04/2022;28;5;4;2;2022;0;Quinta-feira
29/04/2022;29;6;4;2;2022;0;Sexta-feira
30/04/2022;30;7;4;2;2022;0;S‡bado
01/05/2022;1;1;5;2;2022;1;Domingo
02/05/2022;2;2;5;2;2022;0;Segunda-feira
03/05/2022;3;3;5;2;2022;0;Tera-feira
04/05/2022;4;4;5;2;2022;0;Quarta-feira
05/05/2022;5;5;5;2;2022;0;Quinta-feira
06/05/2022;6;6;5;2;2022;0;Sexta-feira
07/05/2022;7;7;5;2;2022;0;S‡bado
08/05/2022;8;1;5;2;2022;0;Domingo
09/05/2022;9;2;5;2;2022;0;Segunda-feira
10/05/2022;10;3;5;2;2022;0;Tera-feira
11/05/2022;11;4;5;2;2022;0;Quarta-feira
12/05/2022;12;5;5;2;2022;0;Quinta-feira
13/05/2022;13;6;5;2;2022;0;Sexta-feira
14/05/2022;14;7;5;2;2022;0;S‡bado
15/05/2022;15;1;5;2;2022;0;Domingo
16/05/2022;16;2;5;2;2022;0;Segunda-feira
17/05/2022;17;3;5;2;2022;0;Tera-feira
18/05/2022;18;4;5;2;2022;0;Quarta-feira
19/05/2022;19;5;5;2;2022;0;Quinta-feira
20/05/2022;20;6;5;2;2022;0;Sexta-feira
21/05/2022;21;7;5;2;2022;0;S‡bado
22/05/2022;22;1;5;2;2022;0;Domingo
23/05/2022;23;2;5;2;2022;0;Segunda-feira
24/05/2022;24;3;5;2;2022;0;Tera-feira
25/05/2022;25;4;5;2;2022;0;Quarta-feira
26/05/2022;26;5;5;2;2022;0;Quinta-feira
27/05/2022;27;6;5;2;2022;0;Sexta-feira
28/05/2022;28;7;5;2;2022;0;S‡bado
29/05/2022;29;1;5;2;2022;0;Domingo
30/05/2022;30;2;5;2;2022;0;Segunda-feira
31/05/2022;31;3;5;2;2022;0;Tera-feira
01/06/2022;1;4;6;2;2022;0;Quarta-feira
02/06/2022;2;5;6;2;2022;0;Quinta-feira
03/06/2022;3;6;6;2;2022;0;Sexta-feira
04/06/2022;4;7;6;2;2022;0;S‡bado
05/06/2022;5;1;6;2;2022;0;Domingo
06/06/2022;6;2;6;2;2022;0;Segunda-feira
07/06/2022;7;3;6;2;2022;0;Tera-feira
08/06/2022;8;4;6;2;2022;0;Quarta-feira
09/06/2022;9;5;6;2;2022;0;Quinta-feira
10/06/2022;10;6;6;2;2022;1;Sexta-feira
11/06/2022;11;7;6;2;2022;0;S‡bado
12/06/2022;12;1;6;2;2022;0;Domingo
13/06/2022;13;2;6;2;2022;0;Segunda-feira
14/06/2022;14;3;6;2;2022;0;Tera-feira
15/06/2022;15;4;6;2;2022;0;Quarta-feira
16/06/2022;16;5;6;2;2022;1;Quinta-feira
17/06/2022;17;6;6;2;2022;0;Sexta-feira
18/06/2022;18;7;6;2;2022;0;S‡bado
19/06/2022;19;1;6;2;2022;0;Domingo
20/06/2022;20;2;6;2;2022;0;Segunda-feira
21/06/2022;21;3;6;2;2022;0;Tera-feira
22/06/2022;22;4;6;2;2022;0;Quarta-feira
23/06/2022;23;5;6;2;2022;0;Quinta-feira
24/06/2022;24;6;6;2;2022;0;Sexta-feira
25/06/2022;25;7;6;2;2022;0;S‡bado
26/06/2022;26;1;6;2;2022;0;Domingo
27/06/2022;27;2;6;2;2022;0;Segunda-feira
28/06/2022;28;3;6;2;2022;0;Tera-feira
29/06/2022;29;4;6;2;2022;0;Quarta-feira
30/06/2022;30;5;6;2;2022;0;Quinta-feira
01/07/2022;1;6;7;3;2022;0;Sexta-feira
02/07/2022;2;7;7;3;2022;0;S‡bado
03/07/2022;3;1;7;3;2022;0;Domingo
04/07/2022;4;2;7;3;2022;0;Segunda-feira
05/07/2022;5;3;7;3;2022;0;Tera-feira
06/07/2022;6;4;7;3;2022;0;Quarta-feira
07/07/2022;7;5;7;3;2022;0;Quinta-feira
08/07/2022;8;6;7;3;2022;0;Sexta-feira
09/07/2022;9;7;7;3;2022;0;S‡bado
10/07/2022;10;1;7;3;2022;0;Domingo
11/07/2022;11;2;7;3;2022;0;Segunda-feira
12/07/2022;12;3;7;3;2022;0;Tera-feira
13/07/2022;13;4;7;3;2022;0;Quarta-feira
14/07/2022;14;5;7;3;2022;0;Quinta-feira
15/07/2022;15;6;7;3;2022;0;Sexta-feira
16/07/2022;16;7;7;3;2022;0;S‡bado
17/07/2022;17;1;7;3;2022;0;Domingo
18/07/2022;18;2;7;3;2022;0;Segunda-feira
19/07/2022;19;3;7;3;2022;0;Tera-feira
20/07/2022;20;4;7;3;2022;0;Quarta-feira
21/07/2022;21;5;7;3;2022;0;Quinta-feira
22/07/2022;22;6;7;3;2022;0;Sexta-feira
23/07/2022;23;7;7;3;2022;0;S‡bado
24/07/2022;24;1;7;3;2022;0;Domingo
25/07/2022;25;2;7;3;2022;0;Segunda-feira
26/07/2022;26;3;7;3;2022;0;Tera-feira
27/07/2022;27;4;7;3;2022;0;Quarta-feira
28/07/2022;28;5;7;3;2022;0;Quinta-feira
29/07/2022;29;6;7;3;2022;0;Sexta-feira
30/07/2022;30;7;7;3;2022;0;S‡bado
31/07/2022;31;1;7;3;2022;0;Domingo
01/08/2022;1;2;8;3;2022;0;Segunda-feira
02/08/2022;2;3;8;3;2022;0;Tera-feira
03/08/2022;3;4;8;3;2022;0;Quarta-feira
04/08/2022;4;5;8;3;2022;0;Quinta-feira
05/08/2022;5;6;8;3;2022;0;Sexta-feira
06/08/2022;6;7;8;3;2022;0;S‡bado
07/08/2022;7;1;8;3;2022;0;Domingo
08/08/2022;8;2;8;3;2022;0;Segunda-feira
09/08/2022;9;3;8;3;2022;0;Tera-feira
10/08/2022;10;4;8;3;2022;0;Quarta-feira
11/08/2022;11;5;8;3;2022;0;Quinta-feira
12/08/2022;12;6;8;3;2022;0;Sexta-feira
13/08/2022;13;7;8;3;2022;0;S‡bado
14/08/2022;14;1;8;3;2022;0;Domingo
15/08/2022;15;2;8;3;2022;1;Segunda-feira
16/08/2022;16;3;8;3;2022;0;Tera-feira
17/08/2022;17;4;8;3;2022;0;Quarta-feira
18/08/2022;18;5;8;3;2022;0;Quinta-feira
19/08/2022;19;6;8;3;2022;0;Sexta-feira
20/08/2022;20;7;8;3;2022;0;S‡bado
21/08/2022;21;1;8;3;2022;0;Domingo
22/08/2022;22;2;8;3;2022;0;Segunda-feira
23/08/2022;23;3;8;3;2022;0;Tera-feira
24/08/2022;24;4;8;3;2022;0;Quarta-feira
25/08/2022;25;5;8;3;2022;0;Quinta-feira
26/08/2022;26;6;8;3;2022;0;Sexta-feira
27/08/2022;27;7;8;3;2022;0;S‡bado
28/08/2022;28;1;8;3;2022;0;Domingo
29/08/2022;29;2;8;3;2022;0;Segunda-feira
30/08/2022;30;3;8;3;2022;0;Tera-feira
31/08/2022;31;4;8;3;2022;0;Quarta-feira
01/09/2022;1;5;9;3;2022;0;Quinta-feira
02/09/2022;2;6;9;3;2022;0;Sexta-feira
03/09/2022;3;7;9;3;2022;0;S‡bado
04/09/2022;4;1;9;3;2022;0;Domingo
05/09/2022;5;2;9;3;2022;0;Segunda-feira
06/09/2022;6;3;9;3;2022;0;Tera-feira
07/09/2022;7;4;9;3;2022;0;Quarta-feira
08/09/2022;8;5;9;3;2022;0;Quinta-feira
09/09/2022;9;6;9;3;2022;0;Sexta-feira
10/09/2022;10;7;9;3;2022;0;S‡bado
11/09/2022;11;1;9;3;2022;0;Domingo
12/09/2022;12;2;9;3;2022;0;Segunda-feira
13/09/2022;13;3;9;3;2022;0;Tera-feira
14/09/2022;14;4;9;3;2022;0;Quarta-feira
15/09/2022;15;5;9;3;2022;0;Quinta-feira
16/09/2022;16;6;9;3;2022;0;Sexta-feira
17/09/2022;17;7;9;3;2022;0;S‡bado
18/09/2022;18;1;9;3;2022;0;Domingo
19/09/2022;19;2;9;3;2022;0;Segunda-feira
20/09/2022;20;3;9;3;2022;0;Tera-feira
21/09/2022;21;4;9;3;2022;0;Quarta-feira
22/09/2022;22;5;9;3;2022;0;Quinta-feira
23/09/2022;23;6;9;3;2022;0;Sexta-feira
24/09/2022;24;7;9;3;2022;0;S‡bado
25/09/2022;25;1;9;3;2022;0;Domingo
26/09/2022;26;2;9;3;2022;0;Segunda-feira
27/09/2022;27;3;9;3;2022;0;Tera-feira
28/09/2022;28;4;9;3;2022;0;Quarta-feira
29/09/2022;29;5;9;3;2022;0;Quinta-feira
30/09/2022;30;6;9;3;2022;0;Sexta-feira
01/10/2022;1;7;10;4;2022;0;S‡bado
02/10/2022;2;1;10;4;2022;0;Domingo
03/10/2022;3;2;10;4;2022;0;Segunda-feira
04/10/2022;4;3;10;4;2022;0;Tera-feira
05/10/2022;5;4;10;4;2022;1;Quarta-feira
06/10/2022;6;5;10;4;2022;0;Quinta-feira
07/10/2022;7;6;10;4;2022;0;Sexta-feira
08/10/2022;8;7;10;4;2022;0;S‡bado
09/10/2022;9;1;10;4;2022;0;Domingo
10/10/2022;10;2;10;4;2022;0;Segunda-feira
11/10/2022;11;3;10;4;2022;0;Tera-feira
12/10/2022;12;4;10;4;2022;0;Quarta-feira
13/10/2022;13;5;10;4;2022;0;Quinta-feira
14/10/2022;14;6;10;4;2022;0;Sexta-feira
15/10/2022;15;7;10;4;2022;0;S‡bado
16/10/2022;16;1;10;4;2022;0;Domingo
17/10/2022;17;2;10;4;2022;0;Segunda-feira
18/10/2022;18;3;10;4;2022;0;Tera-feira
19/10/2022;19;4;10;4;2022;0;Quarta-feira
20/10/2022;20;5;10;4;2022;0;Quinta-feira
21/10/2022;21;6;10;4;2022;0;Sexta-feira
22/10/2022;22;7;10;4;2022;0;S‡bado
23/10/2022;23;1;10;4;2022;0;Domingo
24/10/2022;24;2;10;4;2022;0;Segunda-feira
25/10/2022;25;3;10;4;2022;0;Tera-feira
26/10/2022;26;4;10;4;2022;0;Quarta-feira
27/10/2022;27;5;10;4;2022;0;Quinta-feira
28/10/2022;28;6;10;4;2022;0;Sexta-feira
29/10/2022;29;7;10;4;2022;0;S‡bado
30/10/2022;30;1;10;4;2022;0;Domingo
31/10/2022;31;2;10;4;2022;0;Segunda-feira
01/11/2022;1;3;11;4;2022;1;Tera-feira
02/11/2022;2;4;11;4;2022;0;Quarta-feira
03/11/2022;3;5;11;4;2022;0;Quinta-feira
04/11/2022;4;6;11;4;2022;0;Sexta-feira
05/11/2022;5;7;11;4;2022;0;S‡bado
06/11/2022;6;1;11;4;2022;0;Domingo
07/11/2022;7;2;11;4;2022;0;Segunda-feira
08/11/2022;8;3;11;4;2022;0;Tera-feira
09/11/2022;9;4;11;4;2022;0;Quarta-feira
10/11/2022;10;5;11;4;2022;0;Quinta-feira
11/11/2022;11;6;11;4;2022;0;Sexta-feira
12/11/2022;12;7;11;4;2022;0;S‡bado
13/11/2022;13;1;11;4;2022;0;Domingo
14/11/2022;14;2;11;4;2022;0;Segunda-feira
15/11/2022;15;3;11;4;2022;0;Tera-feira
16/11/2022;16;4;11;4;2022;0;Quarta-feira
17/11/2022;17;5;11;4;2022;0;Quinta-feira
18/11/2022;18;6;11;4;2022;0;Sexta-feira
19/11/2022;19;7;11;4;2022;0;S‡bado
20/11/2022;20;1;11;4;2022;0;Domingo
21/11/2022;21;2;11;4;2022;0;Segunda-feira
22/11/2022;22;3;11;4;2022;0;Tera-feira
23/11/2022;23;4;11;4;2022;0;Quarta-feira
24/11/2022;24;5;11;4;2022;0;Quinta-feira
25/11/2022;25;6;11;4;2022;0;Sexta-feira
26/11/2022;26;7;11;4;2022;0;S‡bado
27/11/2022;27;1;11;4;2022;0;Domingo
28/11/2022;28;2;11;4;2022;0;Segunda-feira
29/11/2022;29;3;11;4;2022;0;Tera-feira
30/11/2022;30;4;11;4;2022;0;Quarta-feira
01/12/2022;1;5;12;4;2022;1;Quinta-feira
02/12/2022;2;6;12;4;2022;0;Sexta-feira
03/12/2022;3;7;12;4;2022;0;S‡bado
04/12/2022;4;1;12;4;2022;0;Domingo
05/12/2022;5;2;12;4;2022;0;Segunda-feira
06/12/2022;6;3;12;4;2022;0;Tera-feira
07/12/2022;7;4;12;4;2022;0;Quarta-feira
08/12/2022;8;5;12;4;2022;1;Quinta-feira
09/12/2022;9;6;12;4;2022;0;Sexta-feira
10/12/2022;10;7;12;4;2022;0;S‡bado
11/12/2022;11;1;12;4;2022;0;Domingo
12/12/2022;12;2;12;4;2022;0;Segunda-feira
13/12/2022;13;3;12;4;2022;0;Tera-feira
14/12/2022;14;4;12;4;2022;0;Quarta-feira
15/12/2022;15;5;12;4;2022;0;Quinta-feira
16/12/2022;16;6;12;4;2022;0;Sexta-feira
17/12/2022;17;7;12;4;2022;0;S‡bado
18/12/2022;18;1;12;4;2022;0;Domingo
19/12/2022;19;2;12;4;2022;0;Segunda-feira
20/12/2022;20;3;12;4;2022;0;Tera-feira
21/12/2022;21;4;12;4;2022;0;Quarta-feira
22/12/2022;22;5;12;4;2022;0;Quinta-feira
23/12/2022;23;6;12;4;2022;0;Sexta-feira
24/12/2022;24;7;12;4;2022;0;S‡bado
25/12/2022;25;1;12;4;2022;1;Domingo
26/12/2022;26;2;12;4;2022;0;Segunda-feira
27/12/2022;27;3;12;4;2022;0;Tera-feira
28/12/2022;28;4;12;4;2022;0;Quarta-feira
29/12/2022;29;5;12;4;2022;0;Quinta-feira
30/12/2022;30;6;12;4;2022;0;Sexta-feira
