Hotel ID;Room ID;Tipo de quarto;Quantidade;Capacidade máxima;Capacidade mínima;Capacidade máxima de adultos;Capacidade mínima de adultos;Capacidade máxima de crianças;Capacidade mínima de crianças;Capacidade máxima de bebés;Capacidade máxima de camas extra;Capacidade máxima de camas extra (crianças);Capacidade máxima de berços extra
20;81;STANDART ROOM;24;2;1;2;1;2;0;1;1;0;0
44;85;Quarto Vista Pinhão;6;2;1;2;1;0;0;0;0;0;0
49;92;Quarto Duplo;10;4;1;2;1;1;0;1;0;1;1
49;93;Quarto Single;10;2;1;1;1;1;0;1;0;0;0
49;94;Suite Executiva;1;4;1;2;1;1;0;1;0;0;0
54;167;Quarto Twin;5;3;1;2;1;2;0;1;0;0;0
54;168;Suite Junior (romantico);1;2;1;2;1;2;0;2;2;2;0
54;169;Suite Standard (familiar);1;4;1;2;1;2;0;2;0;0;0
44;188;Twin;1;3;1;2;1;0;0;1;0;1;0
44;189;Suite Vista Pinhão;1;4;2;4;1;0;0;1;0;1;0
44;190;Quarto Vista Traseiras;2;2;1;2;1;0;0;1;0;0;0
49;211;"Quarto Duplo ""Terrace""";5;3;1;2;1;1;0;1;0;0;0
49;212;"Suite ""DD""ouro Terrace";1;4;1;2;1;1;0;1;0;0;0
20;372;EXECUTIVE ROOM;2;2;1;2;1;2;0;1;1;0;0
167;597;STANDARD;10;3;1;2;1;0;0;0;0;0;0
167;598;SUPERIOR DOUBLE / TWIN;20;2;1;2;1;0;0;0;0;0;0
167;599;DELUXE DOUBLE / TWIN;10;2;1;2;1;0;0;0;0;0;0
167;618;PREMIUM DOUBLE / TWIN;10;2;1;2;1;0;0;0;0;0;0
179;629;Single Comfort;10;1;1;1;1;0;0;0;0;0;0
179;630;Duplo  Comfort;27;2;1;2;1;0;0;0;0;0;0
179;631;Twin Comfort;8;2;1;2;1;0;0;0;0;0;0
179;632;King Comfort;46;2;1;2;1;0;0;0;0;0;0
179;633;Family Comfort Room;4;4;1;4;1;3;0;0;0;0;0
179;635;Suite Comfort;4;3;1;3;1;2;0;0;0;0;0
179;645;Romantico;0;2;1;2;1;0;0;0;0;0;0
185;660;Duplo/Twin;17;2;1;2;1;1;0;1;1;1;1
185;721;Suite;1;4;1;4;1;2;0;1;0;0;0
206;757;Duplo/ Twin;4;2;1;2;1;0;0;0;0;0;0
206;758;Single;0;1;1;1;1;0;0;0;0;0;0
206;759;Family Room;0;5;1;4;1;1;0;0;0;0;0
206;764;Twin + Extra Bed;0;3;1;3;1;0;0;0;0;0;0
226;845;Apartamento com 4 Quartos;2;7;1;7;1;6;0;2;0;0;2
225;846;Apartamento Vista Mar;3;5;1;5;1;4;0;2;0;0;2
225;847;Apartamento Vista Cidade;2;5;1;5;1;4;0;2;0;0;2
237;932;Standard Room Double;25;2;1;2;1;0;0;0;0;0;0
237;933;Double Premier ;15;2;1;2;1;0;0;0;0;0;0
237;934;Twin Premier ;10;2;1;2;1;0;0;0;0;0;0
238;935;Standard Room;10;3;1;2;1;0;0;1;0;0;0
238;936;Interior Family Room;6;3;1;3;1;1;0;1;0;0;0
238;937;Standard Front / Side Balcony;18;3;1;2;1;0;0;1;0;0;0
238;938;Side Superior Balcony or Terrace;3;3;1;3;1;0;0;1;0;0;0
238;939;Superior Rooms Without Balcony;4;2;1;2;1;0;0;1;0;0;0
238;940;Junior Suite;6;3;2;4;2;2;0;1;0;0;0
237;944;Triple Premier;5;3;1;3;1;0;0;0;0;0;0
237;945;Double Premier Romantico;10;2;1;2;1;0;0;0;0;0;0
238;954;Suite Superior;1;4;2;4;2;2;0;1;0;0;0
241;983;Apartamento T1 - 1 Quarto;6;3;1;3;1;1;0;1;0;0;0
241;984;Apartamento T2 - 2 Quartos;6;6;1;4;1;2;0;2;0;0;0
242;1075;Apartamento T1 + 1;1;3;1;3;1;1;0;1;1;1;1
259;1103;Standard;13;3;1;3;1;1;0;1;1;1;1
259;1104;Suite Junior;3;3;1;3;1;2;0;1;1;1;1
259;1105;Suite Deluxe;4;4;1;2;1;2;0;2;2;2;2
269;1159;Duplo/Twin Vista Terra;6;2;1;2;1;0;0;0;0;0;0
269;1160;Duplo/Twin Premium Vista Terra;1;2;1;2;1;0;0;0;0;0;0
269;1162;Suite - Vista Terra;1;2;1;2;1;0;0;0;0;0;0
269;1163;Suite Open Space - Vista Terra;1;2;1;2;1;0;0;0;0;0;0
269;1164;Suite VIP - Vista Terra;1;2;1;2;1;0;0;0;0;0;0
269;1178;Duplo Vista Mar;3;2;1;2;1;0;0;0;0;0;0
269;1179;Duplo/Twin Premium Vista Mar ;8;2;1;2;1;0;0;0;0;0;0
273;1193;Mentha;1;2;1;2;1;0;0;0;0;0;0
273;1197;Camomila;1;2;1;2;1;0;0;0;0;0;0
276;1219;Quarto Duplo/ Twin;10;2;1;2;1;1;0;1;0;0;0
278;1220;Quarto Duplo/ Twin;10;2;1;2;1;0;0;0;0;0;0
278;1221;Quarto Duplo/ Twin com Cama Extra;2;3;3;3;1;1;0;1;0;0;0
277;1222;Quarto Duplo/ Twin;10;2;1;2;1;1;0;1;1;1;1
279;1223;Quarto Twin;10;2;1;2;1;0;0;0;0;0;0
281;1227;Quarto Duplo/ Twin;5;2;1;2;1;0;0;0;0;0;0
185;1228;Duplo/Twin adaptado;1;4;1;2;1;0;0;1;0;0;0
185;1230;Suite adaptada;1;4;1;4;1;2;0;2;2;2;2
287;1232;STUDIO;11;4;1;4;1;0;0;1;0;0;0
273;1235;Rosmarine;1;2;1;2;1;0;0;0;0;0;0
273;1236;Basilicum;1;2;1;2;1;0;0;0;0;0;0
273;1237;Lavanda;1;2;1;2;1;0;0;0;0;0;0
273;1238;Melissa;1;4;1;4;1;0;0;0;0;0;0
273;1239;Oregão;1;2;1;2;1;0;0;0;0;0;0
283;1241;Estudio;3;2;1;2;1;0;0;1;0;0;1
283;1242;T1;3;4;1;4;1;0;0;1;0;0;0
276;1244;Quarto Duplo/ Twin + Cama Extra;3;3;1;3;1;2;0;1;0;0;0
277;1246;Quarto Duplo/ Twin + Cama Extra;2;3;1;3;1;1;0;1;1;0;0
281;1251;Suite;1;4;1;2;1;2;0;1;0;0;0
281;1252;Quarto Duplo/ Twin + Cama Extra;2;3;1;3;1;1;0;1;0;0;0
277;1253;Familiar (2 quartos comunicantes);3;4;1;2;1;2;1;1;0;0;0
281;1254;Familiar (2 quartos comunicantes);1;4;1;2;1;2;0;0;0;0;0
242;1255;Apartamento T2 Superior;1;4;1;4;1;2;0;2;1;1;1
277;1270;Quarto Single;3;1;1;1;1;0;0;0;0;0;0
279;1271;Quarto Twin + Cama Extra;3;3;1;3;1;0;0;0;0;0;0
284;1285;STUDIO;3;2;1;2;1;0;0;1;0;0;0
284;1286;SUPERIOR STUDIO;2;2;1;2;1;0;0;1;0;0;0
285;1288;STUDIO;4;2;1;2;1;0;0;1;0;0;0
285;1289;SUPERIOR STUDIO;1;4;1;4;1;0;0;1;0;0;0
285;1290;ONE-BEDROOM APARTMENT;3;5;1;5;1;0;0;1;0;0;0
269;1292;Duplo Deluxe vista mar;1;2;1;2;1;0;0;0;0;0;0
297;1303;VERMELHO ACESSÍVEL - ESTÚDIO;1;2;1;2;1;1;0;1;0;0;0
297;1310;NOBUCK - APARTAMENTO T1;1;3;1;3;1;1;0;1;0;0;0
297;1311;VERMELHO SENSUAL - Apartamento T1 4 pax;1;4;1;4;2;3;0;1;0;0;0
297;1312;AMARELO PEDRA - Apartamento T2;1;6;1;6;4;5;0;1;0;0;0
302;1316;Apartamento 1 quarto;3;2;1;2;1;1;0;1;0;0;0
302;1317;Apartamento 2 quartos;3;4;1;4;1;3;0;1;0;0;0
302;1318;Apartamento 3 quartos;1;6;1;6;1;5;0;2;0;0;0
287;1346;STUDIO PREMIER;1;4;1;4;1;0;0;2;0;0;2
304;1348;201 - Suite;1;2;1;2;1;0;0;0;0;0;0
304;1349;202 - Suite;1;3;1;3;1;0;0;0;0;0;0
304;1352;104 - Quarto Duplo;1;2;1;2;1;0;0;0;0;0;0
304;1357;203 - Quarto Duplo Wc Exterior;1;2;1;2;1;0;0;0;0;0;0
304;1360;204 - Duplo Superior;1;2;1;2;1;0;0;0;0;0;0
307;1363;Estudio Standard;3;2;1;2;1;0;0;0;0;0;0
307;1364;Estudio Superior;5;3;1;3;1;0;0;0;0;0;0
307;1365;T1 Standard;2;3;1;3;1;0;0;0;0;0;0
307;1366;T1 Superior;4;4;1;4;1;0;0;0;0;0;0
307;1367;T2 ;1;5;1;5;1;0;0;0;0;0;0
306;1368;T0 Superior;2;2;1;2;1;0;0;0;0;0;0
306;1369;T1 Superior;3;4;1;4;1;0;0;0;0;0;0
306;1370;T2;2;5;1;5;1;0;0;0;0;0;0
309;1372;Quarto Duplo Standard;10;2;1;2;1;1;0;0;0;0;0
313;1378;Quartos I, II, III, IV (Terraço Privado);4;2;1;2;1;0;0;0;0;0;1
313;1379;Quarto VIII;1;3;1;3;1;1;0;1;1;1;1
314;1380;Duplo;1;2;1;2;1;1;0;0;0;0;0
313;1381;Quarto IX;0;2;1;2;1;0;0;0;0;0;0
313;1382;Quartos V, VI, VII (Vista Mar);3;2;1;2;1;0;0;0;0;0;0
314;1387;Twin;1;2;1;2;1;0;0;0;0;0;0
314;1388;Triplo;1;3;1;3;1;0;0;0;0;0;0
310;1395;Quarto Duplo Standard;10;2;1;2;1;1;0;0;0;0;0
310;1397;Quarto Duplo Standard com Cama Extra;0;3;1;3;1;2;0;0;0;0;0
316;1399;Quarto Duplo;4;2;1;2;1;1;0;1;0;0;1
316;1404;Quarto Triplo;3;4;3;4;3;2;0;2;0;0;1
304;1405;302 - Quarto Familiar;1;4;1;4;1;0;0;0;0;0;0
304;1406;301 - Quarto Duplo;1;2;1;2;1;0;0;0;0;0;0
311;1407;DB - Quarto Duplo Standard;8;2;1;2;1;2;0;0;0;0;0
320;1409;Suite Twin;9;2;1;2;1;0;0;0;0;0;0
321;1410;Quarto Twin;15;3;1;2;1;0;0;0;0;0;0
322;1413;Duplo;19;2;1;2;1;1;0;0;0;0;0
317;1414;Quarto Duplo;5;2;1;2;1;1;0;1;0;0;1
319;1415;Executivo - Twin;25;2;1;2;1;1;0;1;1;0;1
319;1416;Suite;2;2;1;2;1;0;0;0;0;0;0
321;1417;Quarto Duplo;19;3;1;2;1;0;0;0;0;0;0
320;1418;Cama em Camarata Masculina;6;6;1;1;1;0;0;0;0;0;0
314;1419;Quarto Familiar;1;4;1;2;1;2;0;2;1;0;1
316;1420;Quarto Quádruplo;3;5;4;5;4;2;0;2;0;0;1
318;1421;Duplo;5;2;1;2;1;0;0;0;0;0;0
318;1422;Quádruplo;5;4;1;4;1;2;0;0;0;0;0
310;1424;Quarto Twin Standard;25;2;1;2;1;1;0;0;0;0;0
316;1425;Quarto Twin;7;2;1;2;1;1;0;1;0;0;1
309;1426;Quarto Duplo com Cama Extra;0;3;1;2;1;1;0;0;0;0;0
314;1427;Quarto Romântico;1;2;1;2;1;0;0;0;0;0;0
314;1428;Quarto Individual;1;1;1;1;1;0;0;0;0;0;0
311;1429;TW - Quarto Twin Standard;4;2;1;2;1;2;0;0;0;0;0
309;1430;Quarto Twin Superior;8;2;1;2;1;2;0;0;0;0;0
327;1445;T1;23;2;1;2;1;1;0;1;1;1;1
327;1446;T2;28;4;1;4;1;4;0;2;0;0;0
327;1447;V3;1;7;1;7;1;6;0;1;0;0;0
327;1448;V4;1;9;1;9;1;8;0;1;0;0;0
328;1450;6 Bed Mixed Dormitory ;18;1;1;1;1;0;0;0;0;0;0
328;1451;4 Bed Mixed Dormitory;8;1;1;1;1;0;0;0;0;0;0
328;1452;Single Room;3;1;1;1;1;0;0;0;0;0;0
328;1453;Standard Double Room;5;2;1;2;1;0;0;0;0;0;0
328;1454;Double Room with Balcony;5;2;1;2;1;0;0;0;0;0;0
328;1456;Superior Double Room;3;2;1;2;1;0;0;0;0;0;0
332;1472;Apartamento T1;6;5;1;5;1;3;0;0;0;0;0
332;1473;Apartamento T2;1;7;1;7;1;5;0;0;0;0;0
335;1488;Duplo;4;2;1;2;1;0;0;0;0;0;0
335;1489;Single;1;1;1;1;1;0;0;0;0;0;0
335;1494;Twin+1;5;3;1;3;1;1;0;0;0;0;0
350;1548;T0;5;2;1;2;1;1;0;1;0;0;1
350;1549;T0 Classic;7;3;1;3;1;2;0;1;0;0;1
350;1550;T1;2;3;1;3;1;2;0;1;0;0;1
349;1551;Quarto Twin;4;2;1;2;1;1;0;1;0;0;1
349;1552;Quarto Duplo;10;2;1;2;1;1;0;1;0;0;1
349;1553;Quarto Familiar;4;4;1;4;1;3;0;1;0;0;1
350;1563;T0VM;6;2;1;2;1;1;0;1;0;0;1
356;1569; QUARTO STANDARD;6;3;1;2;1;1;0;1;0;0;0
356;1570;QUARTO SUPERIOR;6;3;1;3;1;1;0;2;1;1;1
356;1571;QUARTO SUPERIOR COM VARANDA;6;3;1;2;1;2;0;2;0;0;0
339;1572;Suite Premium;3;2;1;2;1;2;0;0;0;0;0
339;1573;Quarto Duplo ou Twin com Varanda;14;2;1;2;1;1;0;0;0;0;0
339;1574;Quarto Duplo/Twin Conforto ;4;2;1;2;1;0;0;0;0;0;0
339;1575;Quarto Duplo ou Twin Deluxe;4;2;1;2;1;1;0;0;0;0;0
350;1582;T0VM-3;3;3;1;3;1;2;0;1;0;0;1
350;1583;T1VM;5;3;1;3;1;2;0;1;0;0;1
350;1584;T1-4;9;4;1;4;1;3;0;1;0;0;1
350;1585;T1VM-4;9;4;1;4;1;3;0;1;0;0;1
350;1586;T2;1;6;1;6;1;5;0;1;0;0;1
350;1587;T2VM;1;6;1;6;1;5;0;1;0;0;1
361;1615;T1;1;3;1;3;1;2;0;1;0;0;1
361;1616;T2;1;6;1;6;1;5;0;1;0;0;1
365;1640;Suite Mansarda;2;2;1;2;1;0;0;0;0;0;0
49;1646;Quarto Duplo Reveillon;4;4;1;2;1;1;0;1;0;1;1
366;1648;QUARTO TWIN STANDARD;40;3;1;2;1;1;0;1;0;0;0
366;1650;QUARTO KING-SIZE BED;8;3;1;2;1;0;0;1;0;0;0
366;1651;QUARTO TRIPLO;6;3;1;3;3;0;0;1;0;0;0
366;1652;QUARTO FAMILIAR;4;4;1;2;2;2;2;1;0;0;0
366;1653;QUARTO TWIN QUEEN-CLUB;1;4;1;2;1;1;0;1;0;0;0
366;1654;QUARTO CASAL QUEEN-CLUB;1;3;1;2;1;1;1;1;0;0;0
366;1655;SUITE CARGALEIRO;1;4;1;3;1;1;0;1;0;0;0
366;1656;SUITE POETA;1;4;1;3;1;1;0;1;0;0;0
237;1667;Quarto Familiar;3;2;1;2;1;0;0;0;0;0;0
368;1668;Duplo;8;3;1;2;1;1;0;1;0;0;0
368;1669;Duplo Varanda;2;3;1;2;1;1;0;1;0;0;0
368;1670;Apartamento;2;5;1;4;1;3;0;3;0;0;0
237;1671;Suite Terrace;2;2;1;2;1;0;0;0;0;0;0
310;1673;Quarto Duplo Superior;63;2;1;2;1;1;0;0;0;0;0
310;1674;Quarto Twin Superior;8;2;1;2;1;1;0;0;0;0;0
365;1676;Quarto Duplo;2;2;1;2;1;0;0;0;0;0;0
365;1677;Quarto Familiar;2;5;1;4;1;0;0;0;0;0;0
365;1678;Quarto Superior;9;3;1;2;1;0;0;0;0;0;0
365;1679;Quarto Twin;2;2;1;2;1;0;0;0;0;1;0
365;1680;Suite Junior;2;3;1;2;1;0;0;0;0;0;0
365;1681;Suite Premium;1;2;1;2;1;0;0;0;0;0;0
365;1682;Suite Romantica;1;2;1;2;1;0;0;0;0;0;0
49;1684;QUARTO DUPLO  (TARIFA NÃO REEMBOLSÁVEL) ;10;4;1;2;1;1;0;1;0;1;1
370;1687;T1 - 6.3.E;1;4;1;4;1;3;0;1;0;0;1
370;1688;T1 - 5.4.A;1;4;1;4;1;3;0;1;0;0;1
370;1689;T1 - 2.4.E;1;4;1;4;1;3;0;1;0;0;1
370;1690;T1 - 1.3.G;1;4;1;4;1;3;0;1;0;0;1
370;1691;T2 - 6.5.E/F;2;6;1;6;1;5;0;1;0;0;1
370;1692;T2 - 6.7.B;1;6;1;6;1;5;0;1;0;0;1
370;1693;T2 - 3.6.A;1;6;1;6;1;5;0;1;0;0;1
370;1695;T2 - 2.6.B;1;6;1;6;1;5;0;1;0;0;1
370;1696;T2 - 1.1.A;1;6;1;6;1;5;0;1;0;0;1
370;1697;T3 - 4.4.C;1;8;1;8;1;7;0;1;0;0;1
370;1698;T3 - 5.5/6.A;2;8;1;8;1;7;0;1;0;0;1
317;1705;Quarto Twin;5;2;1;2;1;1;0;1;0;0;1
317;1706;Quarto Triplo;1;3;2;3;2;1;0;1;0;0;1
317;1707;Quarto Quádruplo;2;4;1;4;3;2;0;2;0;0;2
369;1718;Quarto Duplo Executivo;1;2;1;2;1;1;0;0;0;0;1
369;1719;Quarto Duplo ou Twin;2;2;1;2;1;1;0;0;0;0;1
369;1720;Quarto Triplo;1;3;1;3;1;0;0;0;0;0;0
369;1721;Quarto Familiar (2 Adultos + 2 Crianças);1;4;1;2;1;2;0;0;0;0;0
369;1722;Quarto Individual;2;1;1;1;1;0;0;0;0;0;0
378;1730;Duplo Vista Mosteiro;5;2;1;2;1;1;0;0;0;0;0
378;1731;Triplo Com Varanda;2;3;2;3;2;1;0;1;0;1;0
379;1732;Suite T1 Standard - Vista Sul/Terra;5;4;1;4;1;2;0;1;0;0;1
379;1736;Estúdio Standard - T0 Vista Sul/Terra ;5;2;1;2;1;1;0;1;0;0;1
378;1737;Duplo Top Mosteiro;3;2;1;2;1;1;0;1;0;0;1
378;1738;Duplo ou Twin Standard;7;2;1;2;1;1;0;1;0;0;1
379;1739;Suite T1 Vista Marina ou Piscina;5;4;1;4;1;2;0;1;0;0;1
379;1740;Estúdio Superior - T0 Vista Marina ou Piscina;5;2;1;2;1;1;0;1;0;0;1
379;1741;T2 Superior Vista Marina ou Piscina;1;4;1;4;1;2;0;1;0;0;1
379;1742;T3 Vista Marina ou Piscina;1;6;1;6;1;3;0;2;0;0;2
379;1743;T2 Vista jardim;2;4;1;4;1;2;0;1;0;0;1
379;1744;T2 Vista Marina ou Piscina;2;4;1;4;1;2;0;1;0;0;1
358;1745;Suite Deluxe com Vista Cidade;1;2;1;2;1;0;0;0;0;0;0
358;1746;Suite Twin com Vista Cidade;1;2;1;2;1;1;0;1;0;0;0
378;1749;Familiar (2 adultos + 2 crianças);1;4;4;2;2;2;2;1;0;1;0
380;1750;Superior Loft;20;2;1;2;1;1;0;0;0;0;0
380;1751;Premium Loft Sunset;20;2;1;2;1;1;0;0;0;0;0
380;1757;Premium Corner Loft;3;2;1;2;1;1;0;0;0;0;0
380;1758;The Oitavos Suite;1;2;1;2;1;1;0;0;0;0;0
